# Title: This is the title
# X-Label: Time, s
# Y-Label: Three random profiles
# DataLabels: Time (s), C1, R1, K1
# GridOn: false
# LegendOn: true
 
Time (s),C1,R1,K1
   1.000000E+00,   5.779715E-01,   5.849699E-01,   9.239226E-02
   2.000000E+00,   8.609341E-01,   4.320503E-01,   7.302463E-01
   3.000000E+00,   3.491244E-02,   8.542797E-01,   7.617933E-01
   4.000000E+00,   2.979563E-01,   6.194583E-01,   1.141757E-01
   5.000000E+00,   5.456187E-02,   3.184896E-02,   8.840009E-01
   6.000000E+00,   2.110842E-01,   9.215910E-01,   5.484069E-01
   7.000000E+00,   9.253796E-01,   7.284732E-01,   7.672940E-01
   8.000000E+00,   7.599036E-01,   9.540437E-01,   9.218406E-01
   9.000000E+00,   7.957759E-01,   2.902722E-01,   2.856979E-01
   1.000000E+01,   8.414022E-01,   3.303146E-01,   9.323489E-01
   1.100000E+01,   1.641611E-01,   6.609685E-01,   9.601219E-01
   1.200000E+01,   5.229289E-01,   1.421460E-01,   4.295326E-01
   1.300000E+01,   9.406096E-01,   3.029470E-01,   1.763891E-01
   1.400000E+01,   5.651438E-01,   4.460320E-01,   7.300762E-02
   1.500000E+01,   5.572698E-03,   8.437586E-01,   6.277140E-01
   1.600000E+01,   4.007745E-01,   5.734259E-01,   3.546341E-02
   1.700000E+01,   7.987396E-01,   3.706312E-01,   2.785553E-01
   1.800000E+01,   6.753532E-01,   4.148027E-02,   2.403117E-01
   1.900000E+01,   3.290347E-01,   1.379547E-02,   3.233038E-01
   2.000000E+01,   9.637351E-01,   1.444059E-01,   5.486225E-03
   2.100000E+01,   3.036036E-01,   4.943306E-01,   7.515962E-01
   2.200000E+01,   2.619693E-01,   5.778833E-01,   9.904933E-01
   2.300000E+01,   5.681311E-01,   9.012157E-01,   2.193102E-01
   2.400000E+01,   7.154619E-01,   3.920052E-01,   9.876210E-01
   2.500000E+01,   4.781791E-01,   5.886148E-01,   9.109445E-01
   2.600000E+01,   2.348890E-01,   5.937071E-01,   7.658494E-01
   2.700000E+01,   2.984980E-01,   5.108966E-02,   7.185912E-02
   2.800000E+01,   6.716242E-01,   9.779104E-01,   6.037552E-01
   2.900000E+01,   2.168608E-01,   1.213473E-01,   5.731516E-01
   3.000000E+01,   3.909070E-01,   7.970332E-01,   4.845794E-01
   3.100000E+01,   3.725739E-01,   9.080594E-01,   8.465880E-01
   3.200000E+01,   4.026125E-01,   9.460867E-01,   9.016272E-02
   3.300000E+01,   9.006366E-02,   9.257731E-02,   6.479801E-01
   3.400000E+01,   5.756431E-01,   4.796183E-01,   7.693052E-01
