# Title: This is the title
# X-Label: Time, s
# Y-Label: Three random profiles
# DataLabels: Time (s), C1, R1, K1
# GridOn: false
# LegendOn: true
 
Time (s),C1,R1,K1
   1.000000E+00,   1.594160E-01,   9.874998E-01,   4.807101E-01
   2.000000E+00,   4.475984E-01,   1.574734E-01,   3.190930E-01
   3.000000E+00,   5.462971E-01,   8.317951E-01,   7.146585E-01
   4.000000E+00,   3.735170E-01,   9.752602E-01,   1.604553E-01
   5.000000E+00,   8.010202E-01,   2.723171E-01,   6.821402E-02
   6.000000E+00,   2.894616E-01,   8.643444E-01,   2.597977E-01
   7.000000E+00,   9.809633E-01,   9.613864E-02,   4.462526E-01
   8.000000E+00,   4.995256E-01,   7.755374E-02,   1.300653E-01
   9.000000E+00,   8.741136E-01,   4.684633E-01,   3.403577E-01
   1.000000E+01,   6.894897E-01,   9.570437E-01,   4.891827E-01
   1.100000E+01,   1.924250E-01,   1.230046E-01,   4.160200E-01
   1.200000E+01,   5.241927E-02,   8.635775E-01,   3.850783E-02
   1.300000E+01,   4.351483E-02,   6.940539E-01,   3.492206E-01
   1.400000E+01,   8.979836E-01,   1.173429E-01,   9.888417E-01
   1.500000E+01,   1.367212E-01,   2.583460E-01,   4.884350E-01
   1.600000E+01,   1.237871E-02,   1.203685E-01,   2.920109E-02
   1.700000E+01,   1.216032E-01,   9.597004E-01,   3.980919E-01
   1.800000E+01,   1.740789E-01,   4.097818E-01,   4.596397E-01
   1.900000E+01,   3.693887E-01,   3.482774E-01,   7.106440E-01
   2.000000E+01,   1.442326E-01,   8.464502E-01,   7.610822E-01
   2.100000E+01,   3.056497E-01,   9.719332E-01,   6.071511E-01
   2.200000E+01,   9.820769E-02,   1.692019E-01,   5.762821E-01
   2.300000E+01,   6.111512E-01,   7.863680E-01,   6.443478E-01
   2.400000E+01,   8.263254E-01,   4.767342E-01,   5.456287E-01
   2.500000E+01,   3.986240E-01,   2.696208E-01,   7.445060E-01
   2.600000E+01,   7.103504E-01,   9.426997E-01,   3.647823E-01
   2.700000E+01,   5.706755E-01,   3.981075E-01,   4.318208E-01
   2.800000E+01,   4.690655E-02,   6.871980E-01,   9.062801E-01
   2.900000E+01,   2.624285E-01,   9.695446E-01,   1.706148E-02
   3.000000E+01,   1.654651E-01,   7.592044E-01,   2.939803E-01
   3.100000E+01,   9.896494E-01,   1.058742E-01,   9.591056E-01
   3.200000E+01,   7.856106E-01,   3.823248E-01,   4.754978E-01
   3.300000E+01,   1.177121E-01,   4.511684E-01,   9.842846E-01
   3.400000E+01,   6.565053E-01,   5.138487E-01,   1.759689E-01
   3.500000E+01,   3.608524E-01,   6.725029E-01,   8.735878E-01
   3.600000E+01,   8.913327E-01,   7.460096E-01,   6.250313E-01
   3.700000E+01,   7.393933E-01,   7.578689E-01,   5.030275E-01
